Activity Type,Date,Title,Distance,Time,Avg Pace,Total Ascent,Steps
Running,2024-06-29 08:14:22,Berkeley Running,5.48,00:45:48,8:22,295,"8,098"
Running,2024-06-27 17:19:29,Berkeley Running,7.97,01:05:43,8:15,538,"11,752"
Running,2024-06-25 19:27:04,Berkeley Running,7.02,01:03:13,9:01,886,"11,100"
Running,2024-06-24 19:46:12,Berkeley Running,2.71,00:29:56,11:03,210,"5,090"
Running,2024-06-24 18:20:02,Berkeley Running,3.44,00:30:34,8:53,43,"5,430"
Running,2024-06-21 17:11:27,Berkeley Running,0.95,00:07:16.6,7:39,30,"1,292"
Running,2024-06-20 08:02:35,Berkeley Running,5.05,00:39:08,7:45,358,"7,036"
Running,2024-06-19 15:07:38,Berkeley Running,6.93,00:51:17,7:24,410,"9,262"
Running,2024-06-18 22:05:27,Berkeley Running,4.35,00:32:57,7:34,354,"5,906"
Running,2024-06-18 20:19:17,Berkeley Running,0.95,00:06:49.3,7:12,13,"1,192"
Running,2024-06-15 21:11:44,Berkeley Running,1.07,00:07:37.8,7:08,16,"1,150"
Running,2024-06-15 09:40:04,Berkeley Running,8.70,01:18:23,9:01,640,"13,704"
Running,2024-06-14 15:07:31,Berkeley Running,4.84,00:35:45,7:23,364,"6,442"
Running,2024-06-10 10:53:55,San Diego Running,5.36,00:41:53,7:49,633,"7,454"
Running,2024-06-08 15:35:11,San Diego Running,4.63,00:34:35,7:28,489,"6,114"
Running,2024-06-05 11:11:19,San Diego Running,4.08,00:33:46,8:16,636,"5,916"
Running,2024-05-23 16:10:38,San Diego Running,7.67,01:00:09,7:50,522,"10,654"
Running,2024-05-16 16:28:54,San Diego Running,6.78,00:48:49,7:12,266,"8,900"
Running,2024-05-13 10:47:28,San Diego Running,3.24,00:23:56,7:22,407,"4,358"
Running,2024-05-04 16:07:19,Berkeley Running,5.05,00:43:24,8:35,256,"7,678"
Running,2024-04-28 21:22:36,Berkeley Running,6.25,00:38:00,6:05,102,"7,216"
Running,2024-04-23 16:55:41,Berkeley Running,4.08,00:32:00,7:50,335,"5,592"
Running,2024-04-16 15:57:27,Berkeley Running,4.85,00:38:06,7:51,272,"6,662"
Running,2024-04-10 18:17:22,Berkeley Running,4.65,00:34:41,7:28,276,"6,112"
Running,2024-04-05 21:52:24,Berkeley Running,3.30,00:25:27,7:42,282,"4,556"
Running,2024-04-03 12:43:35,Berkeley Running,6.31,00:43:19,6:52,322,"7,960"
Running,2024-03-31 13:20:53,Berkeley Running,10.91,01:24:42,7:46,"1,224","15,092"
Running,2024-03-27 21:25:32,Daan District Running,4.11,00:31:22,7:37,26,"5,702"
Running,2024-03-26 19:20:26,Daan District Running,4.67,00:32:27,6:57,98,"5,962"
Running,2024-03-25 10:41:58,Xinyi District Running,3.14,00:23:34,7:30,20,"4,262"
Running,2024-03-24 21:10:34,Daan District Running,3.27,00:24:42,7:33,39,"4,530"
Running,2024-03-22 14:15:01,Berkeley Running,3.16,00:22:53,7:14,92,"4,228"
Running,2024-03-21 16:09:58,Berkeley Running,4.59,00:34:44,7:34,354,"6,174"
Running,2024-03-20 18:35:23,Berkeley Running,3.72,00:28:11,7:34,95,"5,092"
Running,2024-03-19 10:24:36,Berkeley Running,4.80,00:40:04,8:21,440,"6,920"
Running,2024-03-18 18:37:47,Berkeley Running,4.33,00:33:38,7:47,266,"5,996"
Running,2024-03-17 19:22:37,Berkeley Running,5.31,00:40:17,7:35,75,"7,376"
Running,2024-03-16 17:02:07,Berkeley Running,8.57,00:56:12,6:33,125,"10,354"
Running,2024-03-15 21:12:38,Berkeley Running,4.12,00:31:44,7:42,272,"5,632"
Running,2024-03-14 18:41:43,Berkeley Running,3.63,00:28:35,7:53,72,"5,000"
Running,2024-03-13 22:30:57,Berkeley Running,5.12,00:44:08,8:37,400,"7,672"
Running,2024-03-12 19:35:14,Berkeley Running,4.52,00:32:45,7:14,82,"6,032"
Running,2024-03-11 22:12:05,Berkeley Running,5.15,00:42:57,8:20,515,"7,568"
Running,2024-03-10 17:37:12,Berkeley Running,7.20,01:02:14,8:39,266,"11,026"
Running,2024-03-09 21:36:10,Berkeley Running,4.20,00:36:43,8:44,223,"6,480"
Running,2024-03-08 17:54:21,Berkeley Running,0.34,00:02:32.0,7:25,--,454
Running,2024-03-08 16:27:29,Berkeley Running,2.92,00:21:03,7:12,249,"3,906"
Running,2024-03-07 18:04:56,Berkeley Running,5.98,00:42:02,7:02,52,"7,660"
Running,2024-03-06 23:10:15,Berkeley Running,3.54,00:22:26,6:20,236,"4,236"
Running,2024-03-05 18:14:01,Berkeley Running,4.42,00:34:12,7:44,46,"6,160"
Running,2024-03-04 21:30:21,Berkeley Running,3.15,00:21:44,6:54,167,"3,996"
Running,2024-03-02 16:46:38,Berkeley Running,5.50,00:46:02,8:22,184,"8,154"
Running,2024-03-01 17:39:30,Berkeley Running,4.36,00:33:48,7:45,322,"6,028"
Running,2024-02-29 10:34:33,Berkeley Running,10.53,01:10:11,6:40,338,"12,996"
Running,2024-02-28 17:10:52,Berkeley Running,5.20,00:38:47,7:27,92,"7,012"
Running,2024-02-27 16:43:50,Berkeley Running,9.07,01:10:06,7:44,367,"12,736"
Running,2024-02-26 22:22:14,Berkeley Running,4.58,00:34:04,7:26,282,"6,172"
Running,2024-02-25 16:22:37,Berkeley Running,4.47,00:29:45,6:39,102,"5,516"
Running,2024-02-24 22:45:16,Berkeley Running,5.20,00:37:13,7:09,302,"6,788"
Running,2024-02-23 16:46:42,Berkeley Running,6.31,00:41:52,6:38,72,"7,640"
Running,2024-02-22 10:26:24,Berkeley Running,6.25,00:44:49,7:10,72,"8,102"
Running,2024-02-21 18:14:23,Berkeley Running,5.02,00:36:30,7:16,220,"6,644"
Running,2024-02-20 15:54:32,Berkeley Running,4.06,00:28:28,7:00,62,"5,154"
Running,2024-02-19 16:08:24,Berkeley Running,4.03,00:35:30,8:49,207,"6,248"
Running,2024-02-18 22:33:50,Berkeley Running,3.16,00:23:40,7:30,66,"4,316"
Running,2024-02-17 18:04:54,Berkeley Running,3.17,00:26:01,8:13,157,"4,586"
Running,2024-02-16 17:15:53,Berkeley Running,3.18,00:24:52,7:50,43,"4,452"
Running,2024-02-15 13:15:24,Berkeley Running,3.15,00:26:18,8:21,187,"4,690"
Running,2024-02-14 08:24:04,Berkeley Running,3.54,00:28:04,7:55,105,"5,130"
Running,2024-02-13 17:19:59,Berkeley Running,3.45,00:26:24,7:39,59,"4,808"
